Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,source_etf,Type,Notional Weight,Market Weight
PINC,PREMIER INC CLASS A,Health Care,Equity,"56,454,664.98",0.08,"56,454,664.98","2,006,207.00",28.14,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
WD,WALKER & DUNLOP INC,Financials,Equity,"56,426,905.51",0.08,"56,426,905.51","793,739.00",71.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,Equity,"56,289,840.44",0.08,"56,289,840.44","3,617,599.00",15.56,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
GTX,GARRETT MOTION INC,Consumer Discretionary,Equity,"56,245,604.30",0.08,"56,245,604.30","3,251,191.00",17.30,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
CHEF,CHEFS WAREHOUSE INC,Consumer Staples,Equity,"56,111,515.50",0.08,"56,111,515.50","881,425.00",63.66,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
EXTR,EXTREME NETWORKS INC,Information Technology,Equity,"55,961,172.05",0.08,"55,961,172.05","3,195,955.00",17.51,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,Equity,"55,913,327.64",0.08,"55,913,327.64","1,407,687.00",39.72,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ITGR,INTEGER HOLDINGS CORP,Health Care,Equity,"55,592,287.52",0.08,"55,592,287.52","834,218.00",66.64,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
KGS,KODIAK GAS SERVICES INC,Energy,Equity,"55,240,606.40",0.08,"55,240,606.40","1,625,680.00",33.98,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
FBK,FB FINANCIAL CORP,Financials,Equity,"55,243,838.91",0.08,"55,243,838.91","1,019,071.00",54.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
PRK,PARK NATIONAL CORP,Financials,Equity,"55,176,773.85",0.08,"55,176,773.85","358,035.00",154.11,United States,Nyse Mkt Llc,USD,1.0,USD,-,IWM,,,
BANF,BANCFIRST CORP,Financials,Equity,"54,956,043.46",0.08,"54,956,043.46","506,554.00",108.49,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
AGIO,AGIOS PHARMACEUTICALS INC,Health Care,Equity,"54,941,522.25",0.08,"54,941,522.25","1,362,975.00",40.31,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
FFBC,FIRST FINANCIAL BANCORP,Financials,Equity,"54,883,514.40",0.08,"54,883,514.40","2,320,656.00",23.65,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
JOE,ST JOE,Real Estate,Equity,"54,800,962.00",0.08,"54,800,962.00","935,170.00",58.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ATEC,ALPHATEC HOLDNGS INC,Health Care,Equity,"54,788,157.59",0.08,"54,788,157.59","2,808,209.00",19.51,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
CURB,CURBLINE PROPERTIES,Real Estate,Equity,"54,748,004.00",0.08,"54,748,004.00","2,380,348.00",23.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
UNF,UNIFIRST CORP,Industrials,Equity,"54,600,679.12",0.08,"54,600,679.12","363,956.00",150.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
PFS,PROVIDENT FINANCIAL SERVICES INC,Financials,Equity,"54,468,614.10",0.08,"54,468,614.10","2,976,427.00",18.30,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ATKR,ATKORE INC,Industrials,Equity,"54,207,437.35",0.08,"54,207,437.35","814,537.00",66.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ALRM,ALARM.COM HOLDINGS INC,Information Technology,Equity,"54,191,723.55",0.08,"54,191,723.55","1,149,835.00",47.13,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
UNFI,UNITED NATURAL FOODS INC,Consumer Staples,Equity,"54,083,970.54",0.08,"54,083,970.54","1,451,529.00",37.26,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
GENI,GENIUS SPORTS LTD,Consumer Discretionary,Equity,"53,995,697.31",0.08,"53,995,697.31","5,288,511.00",10.21,United Kingdom,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
HBI,HANESBRANDS INC,Consumer Discretionary,Equity,"53,965,862.35",0.08,"53,965,862.35","8,498,561.00",6.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
MCY,MERCURY GENERAL CORP,Financials,Equity,"53,942,880.00",0.08,"53,942,880.00","657,840.00",82.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CSGS,CSG SYSTEMS INTERNATIONAL INC,Industrials,Equity,"53,842,224.00",0.08,"53,842,224.00","688,960.00",78.15,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
HI,HILLENBRAND INC,Industrials,Equity,"53,842,671.20",0.08,"53,842,671.20","1,703,882.00",31.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CGON,CG ONCOLOGY INC,Health Care,Equity,"53,659,609.92",0.08,"53,659,609.92","1,351,968.00",39.69,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BEAM,BEAM THERAPEUTICS INC,Health Care,Equity,"53,369,547.00",0.08,"53,369,547.00","2,305,380.00",23.15,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
RXO,RXO INC,Industrials,Equity,"53,245,592.20",0.08,"53,245,592.20","3,929,564.00",13.55,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CSTM,CONSTELLIUM SE CLASS A,Materials,Equity,"53,147,308.02",0.08,"53,147,308.02","3,444,414.00",15.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
IVT,INVENTRUST PROPERTIES CORP,Real Estate,Equity,"52,992,986.48",0.08,"52,992,986.48","1,939,714.00",27.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CELC,CELCUITY INC,Health Care,Equity,"52,905,119.40",0.08,"52,905,119.40","713,007.00",74.20,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BANC,BANC OF CALIFORNIA INC,Financials,Equity,"52,876,209.60",0.08,"52,876,209.60","3,092,176.00",17.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
BBT,BEACON FINANCIAL CORP,Financials,Equity,"52,868,243.72",0.08,"52,868,243.72","2,015,564.00",26.23,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials,Equity,"52,801,957.11",0.08,"52,801,957.11","1,302,787.00",40.53,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
TRMK,TRUSTMARK CORP,Financials,Equity,"52,790,271.60",0.08,"52,790,271.60","1,399,530.00",37.72,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
INTA,INTAPP INC,Information Technology,Equity,"52,740,955.60",0.08,"52,740,955.60","1,366,346.00",38.60,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,Equity,"52,694,046.02",0.08,"52,694,046.02","1,122,583.00",46.94,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BLKB,BLACKBAUD INC,Information Technology,Equity,"52,646,796.00",0.08,"52,646,796.00","923,628.00",57.00,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
FRSH,FRESHWORKS INC CLASS A,Information Technology,Equity,"52,602,362.40",0.08,"52,602,362.40","4,848,144.00",10.85,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
CRVL,CORVEL CORP,Health Care,Equity,"52,569,628.80",0.08,"52,569,628.80","697,580.00",75.36,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
CON,CONCENTRA GROUP HOLDINGS PARENT IN,Health Care,Equity,"52,542,544.60",0.08,"52,542,544.60","2,808,260.00",18.71,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
BRZE,BRAZE INC CLASS A,Information Technology,Equity,"52,425,967.80",0.08,"52,425,967.80","1,924,595.00",27.24,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
OII,OCEANEERING INTERNATIONAL INC,Energy,Equity,"52,104,654.56",0.08,"52,104,654.56","2,304,496.00",22.61,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CWK,CUSHMAN AND WAKEFIELD PLC,Real Estate,Equity,"51,979,678.92",0.08,"51,979,678.92","3,370,926.00",15.42,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,Equity,"51,773,711.20",0.08,"51,773,711.20","667,187.00",77.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
PTEN,PATTERSON UTI ENERGY INC,Energy,Equity,"51,452,785.97",0.08,"51,452,785.97","8,476,571.00",6.07,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
TRN,TRINITY INDUSTRIES INC,Industrials,Equity,"51,133,023.20",0.08,"51,133,023.20","1,974,248.00",25.90,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
INSW,INTERNATIONAL SEAWAYS INC,Energy,Equity,"50,884,943.91",0.07,"50,884,943.91","971,643.00",52.37,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
GEO,GEO GROUP INC,Industrials,Equity,"50,663,626.51",0.07,"50,663,626.51","3,287,711.00",15.41,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
HUBG,HUB GROUP INC CLASS A,Industrials,Equity,"50,620,878.06",0.07,"50,620,878.06","1,455,878.00",34.77,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BKD,BROOKDALE SENIOR LIVING INC,Health Care,Equity,"50,531,548.42",0.07,"50,531,548.42","5,546,822.00",9.11,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
OSW,ONESPAWORLD HOLDINGS LTD,Consumer Discretionary,Equity,"50,526,245.60",0.07,"50,526,245.60","2,293,520.00",22.03,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
MGNI,MAGNITE INC,Communication,Equity,"50,342,210.36",0.07,"50,342,210.36","3,386,627.00",14.87,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
FRME,FIRST MERCHANTS CORP,Financials,Equity,"50,344,885.80",0.07,"50,344,885.80","1,412,595.00",35.64,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
NBTB,NBT BANCORP INC,Financials,Equity,"50,326,914.05",0.07,"50,326,914.05","1,231,993.00",40.85,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
DAVE,DAVE INC CLASS A,Financials,Equity,"50,320,998.97",0.07,"50,320,998.97","225,019.00",223.63,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
NTCT,NETSCOUT SYSTEMS INC,Information Technology,Equity,"50,283,060.75",0.07,"50,283,060.75","1,719,079.00",29.25,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
VICR,VICOR CORP,Industrials,Equity,"50,267,012.42",0.07,"50,267,012.42","564,671.00",89.02,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
PARR,PAR PACIFIC HOLDINGS INC,Energy,Equity,"50,191,163.75",0.07,"50,191,163.75","1,231,685.00",40.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
RELY,REMITLY GLOBAL INC,Financials,Equity,"49,928,276.72",0.07,"49,928,276.72","4,055,912.00",12.31,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
SM,SM ENERGY,Energy,Equity,"49,929,068.16",0.07,"49,929,068.16","2,787,776.00",17.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
POWI,POWER INTEGRATIONS INC,Information Technology,Equity,"49,809,043.68",0.07,"49,809,043.68","1,363,884.00",36.52,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
LC,LENDINGCLUB CORP,Financials,Equity,"49,783,266.00",0.07,"49,783,266.00","2,765,737.00",18.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ADUS,ADDUS HOMECARE CORP,Health Care,Equity,"49,788,552.85",0.07,"49,788,552.85","436,015.00",114.19,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
FBNC,FIRST BANCORP,Financials,Equity,"49,549,249.29",0.07,"49,549,249.29","980,979.00",50.51,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,Equity,"49,380,037.08",0.07,"49,380,037.08","6,322,668.00",7.81,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
OI,O I GLASS INC,Materials,Equity,"49,248,196.80",0.07,"49,248,196.80","3,730,924.00",13.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
SPHR,SPHERE ENTERTAINMENT CLASS A,Communication,Equity,"49,215,421.66",0.07,"49,215,421.66","673,538.00",73.07,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
PHIN,PHINIA INC,Consumer Discretionary,Equity,"49,211,430.30",0.07,"49,211,430.30","933,095.00",52.74,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
BANR,BANNER CORP,Financials,Equity,"49,156,421.16",0.07,"49,156,421.16","824,219.00",59.64,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,Equity,"48,896,436.73",0.07,"48,896,436.73","4,218,847.00",11.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
HCI,HCI GROUP INC,Financials,Equity,"48,752,500.00",0.07,"48,752,500.00","250,000.00",195.01,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
IRON,DISC MEDICINE INC,Health Care,Equity,"48,683,547.00",0.07,"48,683,547.00","559,581.00",87.00,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
AMR,ALPHA METALLURGICAL RESOURCE INC,Materials,Equity,"48,515,942.40",0.07,"48,515,942.40","283,520.00",171.12,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
NOG,NORTHERN OIL AND GAS INC,Energy,Equity,"48,252,395.52",0.07,"48,252,395.52","2,356,074.00",20.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CUBI,CUSTOMERS BANCORP INC,Financials,Equity,"48,126,872.89",0.07,"48,126,872.89","721,867.00",66.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
UPWK,UPWORK INC,Industrials,Equity,"48,125,320.40",0.07,"48,125,320.40","2,979,896.00",16.15,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
DYN,DYNE THERAPEUTICS INC,Health Care,Equity,"48,069,628.91",0.07,"48,069,628.91","2,640,463.00",18.20,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
KMT,KENNAMETAL INC,Industrials,Equity,"48,026,156.42",0.07,"48,026,156.42","1,842,907.00",26.06,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology,Equity,"47,959,839.68",0.07,"47,959,839.68","1,248,304.00",38.42,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
YELP,YELP INC,Communication,Equity,"47,923,148.07",0.07,"47,923,148.07","1,491,539.00",32.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
PLUS,EPLUS,Information Technology,Equity,"47,421,011.99",0.07,"47,421,011.99","646,327.00",73.37,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
SEI,SOLARIS OILFIELD INFRASTRUCTURE IN,Energy,Equity,"47,279,154.44",0.07,"47,279,154.44","884,053.00",53.48,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
VCEL,VERICEL CORP,Health Care,Equity,"47,109,615.00",0.07,"47,109,615.00","1,215,732.00",38.75,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Financials,Equity,"46,982,451.45",0.07,"46,982,451.45","888,305.00",52.89,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
NTB,BANK OF NT BUTTERFIELD & SON LTD,Financials,Equity,"46,863,033.37",0.07,"46,863,033.37","1,023,881.00",45.77,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
STC,STEWART INFO SERVICES CORP,Financials,Equity,"46,771,658.36",0.07,"46,771,658.36","673,652.00",69.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary,Equity,"46,680,777.00",0.07,"46,680,777.00","749,892.00",62.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
BUSE,FIRST BUSEY CORP,Financials,Equity,"46,652,378.28",0.07,"46,652,378.28","2,049,753.00",22.76,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
SONO,SONOS INC,Consumer Discretionary,Equity,"46,506,190.68",0.07,"46,506,190.68","2,854,892.00",16.29,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
VRDN,VIRIDIAN THERAPEUTICS ORS INC,Health Care,Equity,"46,408,395.00",0.07,"46,408,395.00","1,687,578.00",27.50,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
KN,KNOWLES CORP,Information Technology,Equity,"46,390,164.08",0.07,"46,390,164.08","2,059,954.00",22.52,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
COGT,COGENT BIOSCIENCES INC,Health Care,Equity,"46,332,907.52",0.07,"46,332,907.52","3,147,616.00",14.72,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BTDR,BITDEER TECHNOLOGIES GROUP CLASS A,Information Technology,Equity,"46,201,202.56",0.07,"46,201,202.56","2,177,248.00",21.22,Singapore,NASDAQ,USD,1.0,USD,-,IWM,,,
DNLI,DENALI THERAPEUTICS INC,Health Care,Equity,"46,076,162.33",0.07,"46,076,162.33","3,197,513.00",14.41,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
TIC,TIC SOLUTIONS INC,Industrials,Equity,"45,973,858.40",0.07,"45,973,858.40","4,123,216.00",11.15,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
HMN,HORACE MANN EDUCATORS CORP,Financials,Equity,"45,871,976.50",0.07,"45,871,976.50","1,012,850.00",45.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CNS,COHEN & STEERS INC,Financials,Equity,"45,865,842.30",0.07,"45,865,842.30","674,994.00",67.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ASGN,ASGN INC,Information Technology,Equity,"45,867,171.54",0.07,"45,867,171.54","1,051,517.00",43.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
RAMP,LIVERAMP HOLDINGS INC,Information Technology,Equity,"45,740,214.00",0.07,"45,740,214.00","1,563,768.00",29.25,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
SGHC,SUPER GROUP LTD,Consumer Discretionary,Equity,"45,702,553.25",0.07,"45,702,553.25","3,889,579.00",11.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
MQ,MARQETA INC CLASS A,Financials,Equity,"45,693,167.52",0.07,"45,693,167.52","9,363,354.00",4.88,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
DBRG,DIGITALBRIDGE GROUP INC CLASS A,Financials,Equity,"45,599,014.00",0.07,"45,599,014.00","4,168,100.00",10.94,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples,Equity,"45,381,357.90",0.07,"45,381,357.90","2,257,779.00",20.10,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,Equity,"45,327,504.18",0.07,"45,327,504.18","972,902.00",46.59,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
INOD,INNODATA INC,Industrials,Equity,"45,316,968.90",0.07,"45,316,968.90","744,121.00",60.90,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
MD,PEDIATRIX MEDICAL GROUP INC,Health Care,Equity,"45,179,379.18",0.07,"45,179,379.18","2,070,549.00",21.82,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
BRSL,BRIGHTSTAR LOTTERY PLC,Consumer Discretionary,Equity,"45,169,365.40",0.07,"45,169,365.40","2,709,620.00",16.67,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
AI,C3 AI INC CLASS A,Information Technology,Equity,"45,064,790.10",0.07,"45,064,790.10","2,968,695.00",15.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
OCUL,OCULAR THERAPEUTIX INC,Health Care,Equity,"45,002,487.68",0.07,"45,002,487.68","4,233,536.00",10.63,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
HLIO,HELIOS TECHNOLOGIES INC,Industrials,Equity,"44,985,997.92",0.07,"44,985,997.92","802,748.00",56.04,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
PRDO,PERDOCEO EDUCATION CORP,Consumer Discretionary,Equity,"44,629,203.33",0.07,"44,629,203.33","1,498,127.00",29.79,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
COCO,THE VITA COCO COMPANY INC,Consumer Staples,Equity,"44,591,955.06",0.07,"44,591,955.06","1,066,283.00",41.82,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
ARR,ARMOUR RESIDENTIAL REIT INC,Financials,Equity,"44,562,812.10",0.07,"44,562,812.10","2,687,745.00",16.58,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
AVPT,AVEPOINT INC CLASS A,Information Technology,Equity,"44,549,599.28",0.07,"44,549,599.28","3,220,065.00",13.84,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
OFG,OFG BANCORP,Financials,Equity,"44,503,701.80",0.07,"44,503,701.80","1,109,818.00",40.10,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
KWR,QUAKER HOUGHTON CORP,Materials,Equity,"44,388,771.70",0.07,"44,388,771.70","336,406.00",131.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,Equity,"44,350,613.25",0.07,"44,350,613.25","1,889,270.00",23.48,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BUR,BURFORD CAPITAL LTD,Financials,Equity,"44,347,803.06",0.07,"44,347,803.06","4,894,901.00",9.06,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
SDRL,SEADRILL LTD,Energy,Equity,"44,117,713.04",0.06,"44,117,713.04","1,520,252.00",29.02,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
KSS,KOHLS CORP,Consumer Discretionary,Equity,"44,026,805.50",0.06,"44,026,805.50","2,628,466.00",16.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
EVTC,EVERTEC INC,Financials,Equity,"44,011,299.64",0.06,"44,011,299.64","1,566,796.00",28.09,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
IOSP,INNOSPEC INC,Materials,Equity,"43,946,285.10",0.06,"43,946,285.10","597,990.00",73.49,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
CXW,CORECIVIC REIT INC,Industrials,Equity,"43,904,557.17",0.06,"43,904,557.17","2,614,923.00",16.79,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
AORT,ARTIVION INC,Health Care,Equity,"43,894,465.00",0.06,"43,894,465.00","924,094.00",47.50,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
SLNO,SOLENO THERAPEUTICS INC,Health Care,Equity,"43,804,897.36",0.06,"43,804,897.36","1,006,084.00",43.54,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
TWST,TWIST BIOSCIENCE CORP,Health Care,Equity,"43,742,090.40",0.06,"43,742,090.40","1,428,080.00",30.63,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BWIN,BALDWIN INSURANCE GROUP INC CLASS,Financials,Equity,"43,672,708.63",0.06,"43,672,708.63","1,693,397.00",25.79,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
HNI,HNI CORP,Industrials,Equity,"43,611,888.06",0.06,"43,611,888.06","1,096,327.00",39.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
APGE,APOGEE THERAPEUTICS INC,Health Care,Equity,"43,424,436.96",0.06,"43,424,436.96","789,607.00",54.99,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
SHO,SUNSTONE HOTEL INVESTORS REIT INC,Real Estate,Equity,"43,374,979.84",0.06,"43,374,979.84","4,674,028.00",9.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
TRIP,TRIPADVISOR INC,Consumer Discretionary,Equity,"43,363,877.28",0.06,"43,363,877.28","2,812,184.00",15.42,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
PRGS,PROGRESS SOFTWARE CORP,Information Technology,Equity,"43,248,213.96",0.06,"43,248,213.96","1,030,701.00",41.96,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
BKE,BUCKLE INC,Consumer Discretionary,Equity,"43,204,156.56",0.06,"43,204,156.56","762,516.00",56.66,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
ALG,ALAMO GROUP INC,Industrials,Equity,"43,109,089.76",0.06,"43,109,089.76","248,984.00",173.14,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
LMAT,LEMAITRE VASCULAR INC,Health Care,Equity,"43,016,396.80",0.06,"43,016,396.80","502,528.00",85.60,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
ROCK,GIBRALTAR INDUSTRIES INC,Industrials,Equity,"42,893,626.80",0.06,"42,893,626.80","720,296.00",59.55,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
DRH,DIAMONDROCK HOSPITALITY REIT,Real Estate,Equity,"42,865,616.87",0.06,"42,865,616.87","5,221,147.00",8.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
CC,CHEMOURS,Materials,Equity,"42,795,399.36",0.06,"42,795,399.36","3,645,264.00",11.74,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care,Equity,"42,784,411.12",0.06,"42,784,411.12","3,669,332.00",11.66,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,Equity,"42,711,716.34",0.06,"42,711,716.34","2,929,473.00",14.58,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
QUBT,QUANTUM COMPUTING INC,Information Technology,Equity,"42,660,072.80",0.06,"42,660,072.80","3,244,112.00",13.15,United States,NASDAQ,USD,1.0,USD,-,IWM,,,
FUN,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary,Equity,"42,621,932.91",0.06,"42,621,932.91","2,317,669.00",18.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
MSGE,MADISON SQUARE GARDEN ENTERTAINMEN,Communication,Equity,"42,349,168.97",0.06,"42,349,168.97","956,611.00",44.27,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,IWM,,,
