model,spearman,spearman_pvalue,kendall,kendall_pvalue,pearson,mse,mae,rmse,sharpe_ratio,total_return,mean_daily_return,volatility,max_drawdown,win_rate,num_days
Early Fusion,-0.02046936674694924,6.59338839177397e-05,-0.01420056172330995,3.3070076214639594e-05,-0.013753629382097158,0.0008153542,0.01810155,0.028554408,0.9634040226989011,0.69129276,0.0018191915,0.029975763,-0.45010173,0.5184210526315789,380
Late Fusion,0.039296900269895796,1.8152070684490647e-14,0.026200489719170883,2.1244107071961465e-14,0.02806471717148928,0.00081274845,0.01808545,0.028508743,-0.709738706233012,-0.52335715,-0.0013772557,0.030804655,-0.86930275,0.5078947368421053,380
